id,name,type,model_type,model_types,url,description,icon,status,form_id
1,Airtel,TELEPHONY,,{},https://www.airtel.in,Airtel india's largest telecom company,private/channels/Airtel_logo-01.png,active,
2,Jio,TELEPHONY,,{},https://www.jio.in,JioÂ” trademark is owned by Reliance Industries Limited and licensed to its affiliates and subsidiaries,private/channels/Reliance_Jio_Logo_October_2015.svg.png,active,
3,Twilio,TELEPHONY,,{},https://www.telephony.com,Twilio is your all in one solution channel,private/channels/twilio.png,active,
4,LiveKit,VOICE_INFRA,,{},https://www.livekit.com,LiveKit is a voice infra provider for the telephony features.,private/channels/livekit.png,active,2
5,Daily,VOICE_INFRA,,{},https://www.daily.co/ai/,"Our platform provides an end-to-end video and audio workflow, from realtime video session to AI enriched",private/channels/daily.png,active,4
6,Vapi,VOICE_INFRA,,{},https://vapi.ai/,"Build, test, and deploy advanced voice AI agents in minutes with Vapi. The platform for developers creating conversational voice AI",private/channels/vapi.png,active,3
36,Unpod.ai,VOICE_INFRA,,{},https://unpod.ai/,Unpod.ai Provides CPAAS to handle the communication using AI native agents.,private/channels/1-1-UNPOD_LOGO_AI_ICON.png,active,5
38,WebSocket,VOICE_INFRA,,{},,"",private/channels/websocket.png,active,6
58,Vodafone,TELEPHONY,,{},,"","",active,
65,Vodafone,TELEPHONY,,{},,"","",active,
66,VI,TELEPHONY,,{},,"","",active,
47,Google,MODEL,LLM,"{LLM,TRANSCRIBER,VOICE}",,"","",active,
7,OpenAI,MODEL,LLM,"{LLM,VOICE}",,"","",active,
15,perplexity-ai,MODEL,LLM,{LLM},,"","",inactive,
16,Anthropic,MODEL,LLM,{LLM},,"","",inactive,
22,Speechmatics,MODEL,TRANSCRIBER,{TRANSCRIBER},,"","",inactive,
24,deepgram,MODEL,VOICE,{VOICE},,"","",inactive,
35,ElevenLabs,MODEL,TRANSCRIBER,{TRANSCRIBER},,"","",inactive,
37,Unpod,MODEL,VOICE,{VOICE},,"","",active,
40,LMNT,MODEL,VOICE,{VOICE},,"","",active,
42,Cartesia,MODEL,VOICE,{VOICE},,"","",active,
43,Gladia,MODEL,TRANSCRIBER,{TRANSCRIBER},,"","",inactive,
53,Ollama,MODEL,LLM,{LLM},http://localhost:11434,"","",inactive,
59,AssemblyAI,MODEL,TRANSCRIBER,{TRANSCRIBER},,"","",active,
62,Baseten,MODEL,LLM,{LLM},,"","",inactive,
63,Deepseek,MODEL,LLM,{LLM},,"","",inactive,
48,Azure,MODEL,LLM,{LLM},,"","",active,
44,Soniox,MODEL,TRANSCRIBER,{TRANSCRIBER},,"","",active,
20,Sarvam,MODEL,VOICE,{VOICE},,Transcriber :Saravam,"",active,
64,sarvam,MODEL,TRANSCRIBER,{TRANSCRIBER},,"","",active,
33,deepgram,MODEL,TRANSCRIBER,{TRANSCRIBER},,"","",active,
60,Rime,MODEL,VOICE,{VOICE},,"","",inactive,
56,xai-realtime,MODEL,LLM,{LLM},,"","",inactive,
55,Cartesia,MODEL,TRANSCRIBER,{TRANSCRIBER},,"","",inactive,
34,ElevenLabs,MODEL,VOICE,{VOICE},,"","",active,
61,inworld,MODEL,VOICE,{VOICE},,"","",inactive,
50,AWS,MODEL,LLM,{LLM},,"","",active,
54,cerebras,MODEL,LLM,{LLM},,"","",active,
10,Groq,MODEL,LLM,{LLM},,"","",active,
